%# Absorption coefficients
%# USA model, high latitude, winter, H=0
%# Wavenumber range: 7443-7446 cm-1, T: 296 K, P: 1 atm, step: 0.0001 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
%# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
%# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)
%
 7443.012600    1.0877032614E-07    4.3870114085E-27
 7443.012700    1.0872409748E-07    4.3851468773E-27
 7443.012800    1.0867794997E-07    4.3832856191E-27
 7443.012900    1.0863188383E-07    4.3814276430E-27
 7443.013000    1.0858589928E-07    4.3795729576E-27
 7443.013100    1.0853999654E-07    4.3777215718E-27
 7443.013200    1.0849417583E-07    4.3758734941E-27
 7443.013300    1.0844843733E-07    4.3740287327E-27
 7443.013400    1.0840278127E-07    4.3721872959E-27
 7443.013500    1.0835720783E-07    4.3703491918E-27
 7443.013600    1.0831171722E-07    4.3685144281E-27
 7443.013700    1.0826630962E-07    4.3666830127E-27
 7443.013800    1.0822098522E-07    4.3648549530E-27
 7443.013900    1.0817574421E-07    4.3630302565E-27
 7443.014000    1.0813058676E-07    4.3612089304E-27
 7443.014100    1.0808551306E-07    4.3593909818E-27
 7443.014200    1.0804052326E-07    4.3575764177E-27
 7443.014300    1.0799561755E-07    4.3557652449E-27
 7443.014400    1.0795079609E-07    4.3539574699E-27
 7443.014500    1.0790605903E-07    4.3521530993E-27
 7443.014600    1.0786140654E-07    4.3503521395E-27
 7443.014700    1.0781683877E-07    4.3485545966E-27
 7443.014800    1.0777235586E-07    4.3467604766E-27
 7443.014900    1.0772795798E-07    4.3449697856E-27
 7443.015000    1.0768364524E-07    4.3431825293E-27
 7443.015100    1.0763941781E-07    4.3413987132E-27
 7443.015200    1.0759527581E-07    4.3396183430E-27
 7443.015300    1.0755121938E-07    4.3378414238E-27
 7443.015400    1.0750724864E-07    4.3360679610E-27
 7443.015500    1.0746336373E-07    4.3342979597E-27
