%nu,H2O/x=.0014/T=296K/P=1atm/L=10cm
7443.426,7.54597631868e-07
7443.427,7.53708242659e-07
7443.428,7.52789341264e-07
7443.429,7.51843116059e-07
7443.43,7.50872767435e-07
7443.431,7.49882390108e-07
7443.432,7.48876829652e-07
7443.433,7.47861520218e-07
7443.434,7.46842311056e-07
7443.435,7.45825289586e-07
7443.436,7.44816608509e-07
7443.437,7.43822323712e-07
7443.438,7.42848248693e-07
7443.439,7.41899829991e-07
7443.44,7.40982046643e-07
7443.441,7.40099335313e-07
7443.442,7.39255541304e-07
7443.443,7.38453894425e-07
7443.444,7.3769700761e-07
7443.445,7.36986895377e-07
7443.446,7.36325008624e-07
7443.447,7.3571228201e-07
7443.448,7.35149190077e-07
7443.449,7.34635808502e-07
7443.45,7.34171877226e-07
7443.451,7.33756862662e-07
7443.452,7.33390016824e-07
7443.453,7.33070431705e-07
7443.454,7.32797087888e-07
7443.455,7.32568896785e-07
7443.456,7.32384736382e-07
7443.457,7.32243480658e-07
7443.458,7.321440231e-07
7443.459,7.32085294887e-07
7443.46,7.32066278413e-07
7443.461,7.32086016815e-07
7443.462,7.32143620205e-07
7443.463,7.32238269217e-07
7443.464,7.32369216444e-07
7443.465,7.32535786249e-07
7443.466,7.32737373387e-07
7443.467,7.32973440777e-07
7443.468,7.332435167e-07
7443.469,7.33547191666e-07
7443.47,7.3388411511e-07
7443.471,7.34253992054e-07
7443.472,7.34656579831e-07
7443.473,7.35091684937e-07
7443.474,7.35559160067e-07
7443.475,7.36058901343e-07
7443.476,7.36590845776e-07
7443.477,7.3715496895e-07
7443.478,7.37751282926e-07
7443.479,7.38379834372e-07
7443.48,7.390407029e-07
7443.481,7.39733999603e-07
7443.482,7.40459865773e-07
7443.483,7.41218471797e-07
7443.484,7.42010016212e-07
7443.485,7.42834724903e-07
7443.486,7.43692850441e-07
7443.487,7.44584671542e-07
7443.488,7.45510492646e-07
7443.489,7.46470643588e-07
7443.49,7.4746547938e-07
7443.491,7.48495380068e-07
7443.492,7.49560750678e-07
7443.493,7.50662021228e-07
7443.494,7.51799646816e-07
7443.495,7.5297410776e-07
7443.496,7.54185909808e-07
7443.497,7.55435584384e-07
7443.498,7.56723688897e-07
7443.499,7.58050807079e-07
7443.5,7.59417549374e-07
7443.501,7.60824553351e-07
7443.502,7.62272484153e-07
7443.503,7.63762034968e-07
7443.504,7.65293927525e-07
7443.505,7.668689126e-07
7443.506,7.68487770536e-07
7443.507,7.70151311767e-07
7443.508,7.71860377337e-07
7443.509,7.73615839413e-07
7443.51,7.75418601778e-07
7443.511,7.77269600303e-07
7443.512,7.79169803373e-07
7443.513,7.81120212275e-07
7443.514,7.83121861523e-07
7443.515,7.85175819106e-07
7443.516,7.87283186653e-07
7443.517,7.89445099483e-07
7443.518,7.91662726539e-07
7443.519,7.93937270161e-07
7443.52,7.96269965699e-07
7443.521,7.9866208092e-07
7443.522,8.01114915185e-07
7443.523,8.03629798368e-07
7443.524,8.06208089477e-07
7443.525,8.08851174933e-07
7443.526,8.11560466472e-07
7443.527,8.14337398616e-07
7443.528,8.17183425663e-07
7443.529,8.2010001814e-07
7443.53,8.23088658664e-07
7443.531,8.26150837135e-07
7443.532,8.29288045198e-07
7443.533,8.32501769907e-07
7443.534,8.35793486498e-07
7443.535,8.39164650208e-07
7443.536,8.42616687039e-07
7443.537,8.46150983388e-07
7443.538,8.49768874464e-07
7443.539,8.53471631379e-07
7443.54,8.57260446853e-07
7443.541,8.61136419431e-07
7443.542,8.65100536136e-07
7443.543,8.69153653489e-07
7443.544,8.73296476833e-07
7443.545,8.7752953791e-07
7443.546,8.81853170658e-07
7443.547,8.86267485225e-07
7443.548,8.90772340206e-07
7443.549,8.95367313149e-07
7443.55,9.0005166941e-07
7443.551,9.04824329483e-07
7443.552,9.09683834951e-07
7443.553,9.14628313297e-07
7443.554,9.19655441816e-07
7443.555,9.24762410985e-07
7443.556,9.2994588766e-07
7443.557,9.35201978568e-07
7443.558,9.40526194625e-07
7443.559,9.45913416648e-07
7443.56,9.51357863151e-07
7443.561,9.5685306092e-07
7443.562,9.62391819149e-07
7443.563,9.67966207963e-07
7443.564,9.73567542175e-07
7443.565,9.79186371164e-07
7443.566,9.84812475737e-07
7443.567,9.90434872859e-07
7443.568,9.96041829052e-07
7443.569,1.00162088323e-06
7443.57,1.00715887965e-06
7443.571,1.01264201149e-06
7443.572,1.01805587551e-06
7443.573,1.02338553794e-06
7443.574,1.0286156118e-06
7443.575,1.03373034524e-06
7443.576,1.03871372062e-06
7443.577,1.04354956371e-06
7443.578,1.04822166194e-06
7443.579,1.0527138906e-06
7443.58,1.05701034562e-06
7443.581,1.06109548114e-06
7443.582,1.06495425013e-06
7443.583,1.06857224599e-06
7443.584,1.07193584291e-06
7443.585,1.07503233281e-06
7443.586,1.07785005652e-06
7443.587,1.08037852689e-06
7443.588,1.08260854171e-06
7443.589,1.08453228432e-06
7443.59,1.08614340998e-06
7443.591,1.08743711645e-06
7443.592,1.08841019735e-06
7443.593,1.08906107733e-06
7443.594,1.08938982824e-06
7443.595,1.0893981662e-06
7443.596,1.08908942941e-06
7443.597,1.08846853737e-06
7443.598,1.08754193219e-06
7443.599,1.08631750318e-06
7443.6,1.08480449629e-06
7443.601,1.08301341003e-06
7443.602,1.08095587983e-06
7443.603,1.07864455313e-06
7443.604,1.07609295719e-06
7443.605,1.07331536214e-06
7443.606,1.07032664136e-06
7443.607,1.06714213157e-06
7443.608,1.06377749465e-06
7443.609,1.06024858315e-06
7443.61,1.05657131133e-06
7443.611,1.05276153324e-06
7443.612,1.0488349292e-06
7443.613,1.04480690164e-06
7443.614,1.04069248131e-06
7443.615,1.03650624418e-06
7443.616,1.03226223963e-06
7443.617,1.02797392974e-06
7443.618,1.02365413971e-06
7443.619,1.01931501915e-06
7443.62,1.01496801361e-06
7443.621,1.01062384588e-06
7443.622,1.00629250631e-06
7443.623,1.00198325134e-06
7443.624,9.97704609421e-07
7443.625,9.93464393398e-07
7443.626,9.89269718589e-07
7443.627,9.85127025523e-07
7443.628,9.81042106605e-07
7443.629,9.77020135831e-07
7443.63,9.7306570082e-07
7443.631,9.6918283642e-07
7443.632,9.65375059264e-07
7443.633,9.61645402674e-07
7443.634,9.57996451392e-07
7443.635,9.54430375683e-07
7443.636,9.50948964409e-07
7443.637,9.47553656735e-07
7443.638,9.44245572186e-07
7443.639,9.41025538825e-07
7443.64,9.37894119362e-07
7443.641,9.34851635056e-07
7443.642,9.31898187306e-07
7443.643,9.29033676874e-07
7443.644,9.26257820688e-07
7443.645,9.23570166248e-07
7443.646,9.20970103643e-07
7443.647,9.18456875245e-07
7443.648,9.16029583169e-07
7443.649,9.13687194599e-07
7443.65,9.11428545147e-07
7443.651,9.09252340396e-07
7443.652,9.07157155848e-07
7443.653,9.05141435513e-07
7443.654,9.03203489415e-07
7443.655,9.01341490311e-07
7443.656,8.99553469978e-07
7443.657,8.97837315417e-07
7443.658,8.96190765379e-07
7443.659,8.94611407626e-07
7443.66,8.93096677335e-07
7443.661,8.91643857092e-07
7443.662,8.90250078873e-07
7443.663,8.88912328418e-07
7443.664,8.87627452337e-07
7443.665,8.86392168264e-07
7443.666,8.85203078284e-07
7443.667,8.84056685781e-07
7443.668,8.82949415756e-07
7443.669,8.81877638568e-07
7443.67,8.80837696913e-07
7443.671,8.79825935746e-07
7443.672,8.78838734736e-07
7443.673,8.77872542712e-07
7443.674,8.76923913471e-07
7443.675,8.75989542204e-07
7443.676,8.7506630175e-07
7443.677,8.74151277825e-07
7443.678,8.73241802367e-07
7443.679,8.72335484127e-07
7443.68,8.71430235717e-07
7443.681,8.70524296354e-07
7443.682,8.69616249681e-07
7443.683,8.68705036135e-07
7443.684,8.67789959523e-07
7443.685,8.66870687578e-07
